,Headlines,Valid Source,Source
1079,Armenia-Azerbaijan  UN to hold emergency talks amid fears conflict will widen,Yes,The Guardian
1080,Let down'  Calls for Gibraltar's Covid-delayed abortion vote to take place,Yes,The Guardian
1081,New Zealand  Rare and fashionable houseplant stolen from botanic gardens,Yes,The Guardian
1082,China  Teacher sentenced to death for poisoning children's porridge,Yes,The Guardian
1083,"Mars  Salty ponds may be under icy surface, raising prospect of Martian life ",Yes,The Guardian
1084,France  Police clear migrant camp at launch point for Britain,Yes,The Guardian
1085,Dispirited but defiant  Hong Kong's spirit of resistance endures,Yes,The Guardian
1086,"Australia  La Niña set to bring cooler weather, more rain and cyclones ",Yes,The Guardian
1087,Wales  Smoking banned on sidelines of children's football,Yes,The Guardian
1088,Human rights  Uighurs could be allowed to seek genocide ruling against China in UK,Yes,The Guardian
1089,Sexual healing  I’ve lost weight – and with it any sensation through penetrative sex,Yes,The Guardian
1090,Falling from the sky  Inside the airline industry's meltdown,Yes,The Guardian
1091,Marie Davidson  ‘We were the under-under-under of the underground’,Yes,The Guardian
1092,I need to spread love with the gifts God gave me'  Funk master Steve Arrington returns,Yes,The Guardian
1093,Armenia-Azerbaijan  Clash over disputed Nagorno-Karabakh region,Yes,The Guardian
1094,Donald Trump  US president 'paid $750 in federal income taxes in 2016 and 2017',Yes,The Guardian
1095,Donald Trump  President claims Joe Biden is on 'performance-enhancing drugs',Yes,The Guardian
1096,Fake news'  Trump denies tax claims from New York Times,Yes,The Guardian
1097,The fight for Hong Kong  'We swam to Hong Kong for freedom half a century ago. What now?',Yes,The Guardian
1098,Spain  Frustrated Madrid residents call for new approach in Covid pandemic,Yes,The Guardian
1099,Israel  Protesters in Jerusalem call for Benjamin Netanyahu to step down,Yes,The Guardian
1100,Are we nearly there yet?  Take a 1980s road trip down the A1,Yes,The Guardian
1101,UK  Sea view photography competition 2020,Yes,The Guardian
1102,Tuesday’s best photos  A jet suit flight and abortion rights protests,Yes,The Guardian
1103,Covid-19 tests that give results in minutes to be rolled out across world,Yes,The Guardian
1104,Live  Trump and Biden head to Ohio for first presidential TV debate – US politics live,Yes,The Guardian
1105,Fred Perry withdraws polo shirt adopted by far-right Proud Boys,Yes,The Guardian
1106,Debate offers Trump chance to yank stubbornly stable 2020 race his way,Yes,The Guardian
1107,"Donald Trump wanted daughter Ivanka to be running mate in 2016, book says ",Yes,The Guardian
1108,"Borat 2 imminent, reports suggest, with Trump, Epstein and Giuliani as targets ",Yes,The Guardian
1109,Live  Biden tells white supremacist groups to 'cease and desist' after Trump's debate 'embarrassment',Yes,The Guardian
1110,Joe Biden  Democrat raises record funds as aides jab 'trainwreck' Trump after sorry debate,Yes,The Guardian
1111,Sport  Athletes dismayed by Trump's refusal to condemn white supremacy in debate,Yes,The Guardian
1112,How to move to Canada'  Americans rush to Google after unwatchable debate,Yes,The Guardian
1113,"US policing  Black residents nearly four times as likely to be cited by Los Angeles police, report finds ",Yes,The Guardian
1114,Vatican  Official accuses Trump administration of exploiting pope,Yes,The Guardian
1115,"California  Fires rage on as hot, dry weather holds ",Yes,The Guardian
1116,"Breonna Taylor  Release grand jury files by Friday, state attorney general told ",Yes,The Guardian
1117,Los Angeles  Man arrested and charged with shooting two sheriff’s deputies,Yes,The Guardian
1118,Ukraine  American woman working at embassy killed while jogging in Kyiv,Yes,The Guardian
1119,Amy Coney Barrett  Religious group scrubs all references to Trump's pick from its website,Yes,The Guardian
1120,Nxivm  Benefactor of disgraced group leader sentenced to seven years in prison,Yes,The Guardian
1121,"Julian Assange  US intelligence sources discussed poisoning WikiLeaks founder, court told ",Yes,The Guardian
1122,"New York  Less than 20% of theater created by people of color, study finds ",Yes,The Guardian
1123,New Zealand  Jacinda Ardern admits cannabis use in heated debate,Yes,The Guardian
1124,US  Two universities welcomed students on campus. Only one tested for Covid-19,Yes,The Guardian
1125,Live  Italian senate suspended as lawmakers test positive; Covid travel slump could cost 46m jobs,Yes,The Guardian
1126,"Science  Neanderthal genes increase risk of serious Covid-19, study claims ",Yes,The Guardian
1127,Germany  People embrace fresh air to ward off coronavirus,Yes,The Guardian
1128,Sober October  17 ways to unwind after a stressful day – without hitting the booze,Yes,The Guardian
1129,Glue and scissors  How I rediscovered my teenage hobby amid the pandemic,Yes,The Guardian
1130,Jimmy Fallon on the debate  'Felt like getting a Covid test in both nostrils',Yes,The Guardian
1131,"Google  Pixel 5, Chromecast and Nest Audio smart speaker unveiled ",Yes,The Guardian
1132,Where did we get the idea that we can’t be friends?'  They hate each other's political views – and yet they like each other,Yes,The Guardian
1133,Proud Boys  Who are far-right group that backs Donald Trump?,Yes,The Guardian
1134,Trump v Biden in the first 2020 presidential debate: our panelists' verdict,Yes,The Guardian
1135,"Trump heckled, bullied and lied through the debate. It won't help him beat Biden ",Yes,The Guardian
1136,The Guardian view  The US presidential debate: a bad night for the world,Yes,The Guardian
1137,"Battered, bloodshot Boris is no longer the star of his own show ",Yes,The Guardian
1138,America is in pain. The presidential debate offered no help,Yes,The Guardian
1139,A Facial Action Coding system to explain what women are thinking? You could just ask,Yes,The Guardian
1140,Why Joe Biden is better than Donald Trump for the US economy,Yes,The Guardian
1141,Tennis  Williams insists her body is still willing after pulling out of French Open,Yes,The Guardian
1142,NBA finals predictions  Lakers or Heat? Will the title elevate LeBron to GOAT?,Yes,The Guardian
1143,Manchester United  Club open talks with Barcelona over Dembélé loan,Yes,The Guardian
1144,He didn't say it'  Athletes dismayed by Trump's refusal to condemn white supremacy,Yes,The Guardian
1145,NFL  Will Covid-19 postpone the season? There are 16bn reasons why it won't,Yes,The Guardian
1146,Marathon  Kipchoge denies platform Nike shoes offer advantage,Yes,The Guardian
1147," 'My head's on fire!'  Bob Mould, alt-rock's gay icon, takes on American evil  ",Yes,The Guardian
1148,Gilmore Girls power  Why we still love this comforting classic 20 years on,Yes,The Guardian
1149,Helen Reddy  Australian singer of feminist anthem I Am Woman dies aged 78,Yes,The Guardian
1150,Mac Davis  Songwriter of Elvis hits In the Ghetto and A Little Less Conversation dies aged 78,Yes,The Guardian
1151,It's up to people to change the system'  The artists using stamps as resistance,Yes,The Guardian
1152,Books  More than 200 writers and publishers sign letter in support of trans and non-binary people,Yes,The Guardian
1153,It's not fair'  Workers outraged Trump pays less tax than them,Yes,The Guardian
1154,Timothy Ray Brown  First person to be cured of HIV dies aged 54,Yes,The Guardian
1155,Florida  Plan to solve non-existent protest problem is pure 'mini-Trump',Yes,The Guardian
1156,US elections 2020  Trump plunges presidential debate into chaos as he repeatedly talks over Biden,Yes,The Guardian
1157,Analysis  Donald Trump ensures first presidential debate is national humiliation,Yes,The Guardian
1158,Chris Wallace  Moderator criticized as Biden drowned out by Trump in debate,Yes,The Guardian
1159,Watch parties  How the chaos of the first debate was received,Yes,The Guardian
1160,California  Kobe Bryant law bans photos of the dead by first responders,Yes,The Guardian
1161,"Greenland  Ice melting faster than at any time in past 12,000 years ",Yes,The Guardian
1162,Oui ou non  New Caledonia set for fresh vote on independence from France,Yes,The Guardian
1163,Switzerland  Geneva to raise minimum wage to world's highest,Yes,The Guardian
1164,Technology  Facebook merges Messenger chat service with Instagram,Yes,The Guardian
1165,Canada  Police charge dozens and seize $10m in assets in illegal casino bust,Yes,The Guardian
1166,"Manchester Arena attack  Bomber linked to six MI5 'subjects of interest', inquiry hears ",Yes,The Guardian
1167,Saudi Arabia  Sadiq Khan refuses to attend city mayors' summit,Yes,The Guardian
1168,ISS  Astronauts trace air leak to Russian side of space station after midnight alarm,Yes,The Guardian
1169,Krajina  Bosnian authorities 'forcibly' emptying UN migrant camps,Yes,The Guardian
1170,France  Five activists on trial for trying to seize African funeral staff from museum,Yes,The Guardian
1171,Feminist economics  How egg freezing got rebranded as the ultimate act of self-care,Yes,The Guardian
1172,Bodybuilding blind  'Anything’s possible with a bit of ingenuity',Yes,The Guardian
1173,Denim is rubbish for keeping you warm'  Experts' tips for cold-weather dressing,Yes,The Guardian
1174,US elections 2020  Joe Biden tells white supremacist groups to 'cease and desist',Yes,The Guardian
1175,"Will you shut up, man?'  Biden and Trump clash in first US presidential debate – video ",Yes,The Guardian
1176,US elections 2020  Trump interrupts Biden's tribute to late son to raise unfounded accusations,Yes,The Guardian
1177,Debate  Biden tells Trump 'you are the worst president America has ever had' in battle over taxes,Yes,The Guardian
1178,Proud Boys  Trump namechecks group as he refuses to condemn white supremacists in debate,Yes,The Guardian
1179,Grit and beauty  The lives of Irish Traveller children,Yes,The Guardian
1180,Up close and personal  Close Up Photographer of the Year,Yes,The Guardian
1181,Wildfires  Oregon's firefighting prisoners,Yes,The Guardian
1182,Religious group scrubs all references to Amy Coney Barrett from its website,Yes,The Guardian
1183,Presidential debates format to be overhauled after calamity in Cleveland,Yes,The Guardian
1184,Live  Trump signals he won't agree to rules changes for debates,Yes,The Guardian
1185,Texas  Outrage as Texas governor orders closure of multiple ballot drop-off sites,Yes,The Guardian
1186,Russia  Meddlers reportedly posed as rightwing news site to target US voters,Yes,The Guardian
1187,Roe v Wade  Amy Coney Barrett signed newspaper ad that called ruling 'barbaric',Yes,The Guardian
1188,The far right  Proud Boys are a dangerous 'white supremacist' group say US agencies,Yes,The Guardian
1189,Brexit  EU launches legal action against UK for breaching withdrawal agreement,Yes,The Guardian
1190,Second world war  Nazi shipwreck found off Poland may solve Amber Room mystery,Yes,The Guardian
1191,Exclusive  Human rights lawyers sue Trump administration for 'silencing' them,Yes,The Guardian
1192,"America's water crisis  New ‘forever chemicals' contaminating the environment, regulators say ",Yes,The Guardian
1193,"Edward Snowden  US entitled to $5.2m from book sales, court rules ",Yes,The Guardian
1194,Delphine Boël  Belgian king's daughter wins right to call herself princess,Yes,The Guardian
1195,California  Firefighters watch for ‘violent’ winds as nearly 30 blazes burn,Yes,The Guardian
1196,"Crumbs  Subway bread is not bread, Irish court rules ",Yes,The Guardian
1197,"Live  Paris set to be on 'maximum alert' if situation does not improve; 2,548 new cases in Italy ",Yes,The Guardian
1198,Elton John  Singer accused of breaking mask rules on Italian island,Yes,The Guardian
1199,"Covid-19   Vaccine alone won't defeat spread of virus, report warns ",Yes,The Guardian
1200,Coronavirus map of the US  Latest cases state by state,Yes,The Guardian
1201,Number-cruncher  The devastating power of Katie Porter's whiteboard,Yes,The Guardian
1202,Elvis Costello's teenage obsessions: I had a massive crush on Judi Dench in 1966,Yes,The Guardian
1203,Fat bear week  America's most body positive contest nears climax,Yes,The Guardian
1204,Trevor Noah: The only thing Trump avoids more than condemning white supremacists is taxes,Yes,The Guardian
1205,‘We want our island back’  The group taking on cruise ships in Florida Keys,Yes,The Guardian
1206,Charred homes and crumbled walls  Tallying the destruction of a California wildfire,Yes,The Guardian
1207,"When Trump defends armed rightwing gangs, his rhetoric has echoes of fascism ",Yes,The Guardian
1208,Masculinity is a force in the US election – and women are responding accordingly,Yes,The Guardian
1209,Trump has starved Americans of human compassion. Biden finally offered us some,Yes,The Guardian
1210,"These days, having hope as a Black woman can be hard. But history shows progress is possible ",Yes,The Guardian
1211,"Beijing's tyranny forced me to flee Hong Kong, but I will fight for democracy in exile ",Yes,The Guardian
1212,Boris's Brexit and Covid incompetence spreads to infect asylum policy,Yes,The Guardian
1213,"NBA finals  Miami's Bam Adebayo, Goran Dragić listed as doubtful for Game 2 ",Yes,The Guardian
1214,Landon Donovan  San Diego Loyal manager 'proud' of walk-off over alleged homophobic abuse,Yes,The Guardian
1215,NFL  Steelers-Titans won't be played in Week 4 after more positive Covid-19 tests,Yes,The Guardian
1216,Carabao Cup  Liverpool's Wilson misses decisive penalty as Arsenal win shootout,Yes,The Guardian
1217,Soccer  Is the USMNT in danger of developing into a world-class outfit?,Yes,The Guardian
1218,French Open 2020  Jelena Ostapenko rediscovers form to stun Karolina Pliskova,Yes,The Guardian
1219,Borat  Presenter praises Donald Trump on Twitter ahead of new film,Yes,The Guardian
1220,"Jackass at 20  Disgusting, childish, dangerous and ... heartwarming? ",Yes,The Guardian
1221,"Somehow I beat the system'  Tony Todd on Candyman, Black Lives Matter and seeing stars cry on the set of Platoon ",Yes,The Guardian
1222,"AC/DC  Band reunite, featuring three former members ",Yes,The Guardian
1223,"Film  Scorsese, Eastwood, Broccoli say US cinemas may not survive pandemic ",Yes,The Guardian
1224,From cut-out confessions to cheese pages  Browse the world's strangest books,Yes,The Guardian
1225,"Swords, sand and razor-sharp insults  The Secret of Monkey Island at 30 ",Yes,The Guardian
1226,Brad Parscale  Former Trump campaign manager steps down,Yes,The Guardian
1227,"Julian Assange  US is tearing our family apart, says partner ",Yes,The Guardian
1228,Deep pain'  Chrissy Teigen and John Legend speak of losing baby,Yes,The Guardian
1229,Nasa  Dragonfly mission to Saturn's Titan moon delayed,Yes,The Guardian
1230,Incredibly dangerous job'  Concerns safety is slipping at US meat plants,Yes,The Guardian
1231,Facebook  Trump campaign ads with misleading claims about refugees removed,Yes,The Guardian
1232,Reparations  California to consider slavery reparations after landmark law passed,Yes,The Guardian
1233,Microsoft  Company launches cheaper Surface Laptop Go,Yes,The Guardian
1234,Brazil  Amazon rainforest suffers worst fires in a decade,Yes,The Guardian
1235,"Vital tool'  HPV vaccine helps prevent invasive cervical cancer, landmark study shows ",Yes,The Guardian
1236,Migration  Thousands of Honduran migrants cross the border into Guatemala illegally,Yes,The Guardian
1237,Japan  Man admits nine murders after contacting suicidal people via Twitter,Yes,The Guardian
1238,Americas  US makes fresh pitch to Latin America in bid to counter China's influence,Yes,The Guardian
1239,"Belgium  Corrupt police officers helped ship cocaine into Europe, say officials ",Yes,The Guardian
1240,Alexei Navalny  Russian opposition figure says he believes Vladimir Putin was behind poisoning,Yes,The Guardian
1241,Hong Kong  At least 60 people arrested on China's national day,Yes,The Guardian
1242,India  Classical music and dance 'guru' system hit by abuse allegations,Yes,The Guardian
1243,India  Rahul Gandhi arrested on way to meet rape victim's family,Yes,The Guardian
1244,"I thought, this is strange'  Mystery of royal stone head at Shaftesbury Abbey ",Yes,The Guardian
1245,The uplift  Indian dance classes on Zoom lifted the heaviness I’d been carrying,Yes,The Guardian
1246,The long read  How one man spent 34 years in prison after setting fire to a pair of curtains,Yes,The Guardian
1247,US elections 2020  Biden and Trump trade insults in frenzied presidential debate,Yes,The Guardian
1248,Chris Wallace  US presidential debate moderator struggles to contain Trump,Yes,The Guardian
1249,QAnon  What is it and why is it so dangerous?,Yes,The Guardian
1250,Masked weddings and buffalo racing  Thursday's best photos,Yes,The Guardian
1251,Beijing  Streets during and after Covid lockdown,Yes,The Guardian
1252,"Compassion, trauma and hope'  A fresh perspective on addiction  ",Yes,The Guardian
1253,"Subway bread is not bread, Irish court rules ",Yes,The Guardian
1254,Revealed: Amy Coney Barrett supported group that said life begins at fertilization,Yes,The Guardian
1255,"Experience: I came out to my husband, then he came out to me ",Yes,The Guardian
1256,Borat praises Donald Trump on Twitter ahead of new film,Yes,The Guardian
1257,Coronavirus  Donald and Melania Trump test positive for Covid,Yes,The Guardian
1258,White House scramble  Fears for Joe Biden after Trump tests positive for Covid,Yes,The Guardian
1259,Analysis  Trump's positive Covid test is a surprise that many saw coming,Yes,The Guardian
1260,World leaders  Donald Trump joins growing list to contract Covid,Yes,The Guardian
1261,Business live  Global markets retreat after Trump tests positive for Covid-19,Yes,The Guardian
1262,US unemployment  Rate falls to 7.9% in last look at jobs market before elections,Yes,The Guardian
1263,We are living the issues'  Record number of women of color run for Congress,Yes,The Guardian
1264,Ivanka Trump  Revelation of vast 'consulting fees' threatens damage for first daughter,Yes,The Guardian
1265,Canada  Questions after grisly tales of 'Isis killer' exposed as a hoax,Yes,The Guardian
1266,I feel pride'  Incarcerated residents of Washington DC register to vote for first time,Yes,The Guardian
1267,"Climate crisis  A second Trump term would be 'game over' for the climate, says top scientist ",Yes,The Guardian
1268,Paraguay  Wildfires tear through drought-racked country amid record heat,Yes,The Guardian
1269,After Hong Kong  China sets sights on solving 'the Taiwan problem',Yes,The Guardian
1270,Uighurs  China confirms death of man whose family says was held in Xinjiang camps,Yes,The Guardian
1271,US immigration  Rights groups appalled as Trump cuts US refugee admissions to record low,Yes,The Guardian
1272,"Amazon  Almost 20,000 Amazon workers in US test positive for Covid-19 ",Yes,The Guardian
1273,Live  Madrid to enter partial lockdown; Poland reports new infections record,Yes,The Guardian
1274,This is how you fight Nazis'  The data scientist exposing US white supremacists,Yes,The Guardian
1275,Alaska  Humpback whales seize chance to sing in cruise-free Covid summer,Yes,The Guardian
1276,WNBA finals predictions  Storm or Aces? Our writers make their picks,Yes,The Guardian
1277,Radiohead  Why they are the Blackest white band of our times,Yes,The Guardian
1278,Rashida Jones  'I didn’t know if I was coming or going',Yes,The Guardian
1279,Americans are becoming climate migrants before our eyes,Yes,The Guardian
1280,I have huge respect for Chrissy Teigen sharing her pregnancy loss when she knew what would happen next,Yes,The Guardian
1281,The Raccoons of the Resistance on stopping Trump and America's slide into fascism,Yes,The Guardian
1282,Covid-19 and the climate crisis are part of the same battle,Yes,The Guardian
1283,I thought school would terrify my kids. They just put on masks and adapted,Yes,The Guardian
1284,Trump is a person devoid of good character. Why doesn't it seem to matter?,Yes,The Guardian
1285,NFL rookie roundup  Which first-year players are making their mark?,Yes,The Guardian
1286,"Live  French Open: Ruud v Thiem, Halep and Nadal to follow ",Yes,The Guardian
1287,NFL  Broncos earn first win of season as lowly Jets come from ahead,Yes,The Guardian
1288,NBA  Doc Rivers reportedly agrees to five-year deal to coach 76ers,Yes,The Guardian
1289,"Live  Weekend countdown: Europa League draw, Premier League team news, transfers and more! ",Yes,The Guardian
1290,Wigs! Urns! Keef's shepherd's pie!  What the Rolling Stones shop should be selling,Yes,The Guardian
1291,From Hamlet to hammy: why I love Kenneth Branagh,Yes,The Guardian
1292,Business  Global stock markets slide after Trump's Covid diagnosis,Yes,The Guardian
1293,Belarus  Officials to face EU sanctions but leaders stop short of Lukashenko,Yes,The Guardian
1294,Brexit  Boris Johnson to speak to EC chief on Saturday in last-ditch Brexit talks,Yes,The Guardian
1295,Migration  Thousands of migrants cross into Guatemala with slim hopes of reaching US,Yes,The Guardian
1296,England  Water firms criticised over rising environmental pollution,Yes,The Guardian
1297,Julian Assange  George Christensen calls on Australia to lodge formal protest over treatment,Yes,The Guardian
1298,UK  Harry and Meghan call for end to structural racism,Yes,The Guardian
1299,Fast food  Of course Subway’s bread is full of sugar. Why else would my kids like it?,Yes,The Guardian
1300,My life in sex  ‘I both long for romance and dread it’,Yes,The Guardian
1301,"The joy of small things  I’d heard about a running ‘high’. Now, I too, have felt the buzz of finishing a 5k ",Yes,The Guardian
1302,Life and style  A podcast at bedtime keeps the doctor away – but not the screaming 3am demons,Yes,The Guardian
1303,Donald Trump  President throws baseball caps into crowd days before announcing positive Covid test,Yes,The Guardian
1304,We had minutes'  California Glass wildfire rips through wine country,Yes,The Guardian
1305,Cruising for a bruising  The machine that scans for perfect avocados,Yes,The Guardian
1306,A contrast of styles  New Zealand v US leaders' election debate – video,Yes,The Guardian
1307,Burned bottles and scorched vines  Wineries hit hard by California fires,Yes,The Guardian
1308,Coronavirus outbreak  The rise of the Covid robots,Yes,The Guardian
1309,Caped crusaders  The greatest celebrity coat moments,Yes,The Guardian
1310,"Donald Trump's age and weight may cause Covid complications, doctors say ",Yes,The Guardian
1311,Prayers and criticism as public figures react to Trump Covid news,Yes,The Guardian
1312,Fears for Joe Biden after Trump tests positive for Covid,Yes,The Guardian
1313,Live  Donald Trump quarantines after positive Covid test; Mike Pence tests negative – live updates,Yes,The Guardian
1314,Trump tests positive for coronavirus – what we know and don't know,Yes,The Guardian
1315,Trump and first lady Melania test positive for coronavirus,Yes,The Guardian
1316,Live  Trump's hospital stay for Covid fuels concerns condition is serious as new White House cases emerge,Yes,The Guardian
1317,Rose Garden  Scrutiny on event after Conway and others test positive,Yes,The Guardian
1318,How healthy is Trump?   Years of misinformation make it difficult to know,Yes,The Guardian
1319,It’s a hoax. There's no pandemic'  Trump's base stays loyal as president fights Covid,Yes,The Guardian
1320,Reaction  Fine line between sympathy and blame from liberals,Yes,The Guardian
1321,US elections 2020  Chaotic Trump-Biden debate may count for little – voters have already decided,Yes,The Guardian
1322,Breonna Taylor  Grand jury testimony reveals police did not search her home,Yes,The Guardian
1323,Wildfires  Smoke choking California again as dangerous fire conditions continue,Yes,The Guardian
1324,Harvey Weinstein  Convicted mogul facing six new sexual assault charges,Yes,The Guardian
1325,Defend our nation'  Armenian diaspora feels pull of another war,Yes,The Guardian
1326,"MLB  Bob Gibson, uncompromising St Louis Cardinals pitching ace, dies aged 84 ",Yes,The Guardian
1327,California  Donald Trump's Hollywood Walk of Fame star vandalized again,Yes,The Guardian
1328,No Time to Die  Bond 25 pushed back again to spring 2021,Yes,The Guardian
1329,US elections 2020  US voters living abroad sue for access to electronic voting,Yes,The Guardian
1330,Nagorno-Karabakh  Syrian recruit describes role of foreign fighters,Yes,The Guardian
1331,Melania Trump  Tapes reveal complaints on Christmas and migrant children row,Yes,The Guardian
1332,"Live  Trump will come through Covid well, says Boris Johnson ",Yes,The Guardian
1333,Antibody drug  UK hospitals already using experimental treatment,Yes,The Guardian
1334,The Week in Patriarchy The most unhinged Trump conspiracy theory comes from – who else? – QAnon followers,Yes,The Guardian
1335,"HR McMaster on serving Trump If you're not on the pitch, you're going to get your ass kicked ",Yes,The Guardian
1336,The American Crisis review  An Atlantic SOS call from Trump's divided nation,Yes,The Guardian
1337,A writer is one who writes'  Covid has made life harder – but I'm still hopeful,Yes,The Guardian
1338,Ian Rankin  ‘I became a suspect in a real-life case while researching my first novel’,Yes,The Guardian
1339,Steve McQueen Our Marlon Brandos are on building sites,Yes,The Guardian
1340,We should wish Trump well. But he's been astoundingly irresponsible at every turn,Yes,The Guardian
1341,Donald Trump's coronavirus infection is the ultimate 'October surprise',Yes,The Guardian
1342,"Think unconscious bias training is a fad? It's been going for at least 2,000 years ",Yes,The Guardian
1343,How the Republican party threatens the US republic,Yes,The Guardian
1344,"Trump joked while people suffered with Covid. Well, is now the time to stop? ",Yes,The Guardian
1345,The US supreme court may soon become plutocracy's greatest defender,Yes,The Guardian
1346,NBA finals  Lakers overwhelm shorthanded Heat in Game 2 to take stranglehold in series,Yes,The Guardian
1347,Premier League: Chelsea v Crystal Palace,Yes,The Guardian
1348,"French Open  Anderson v Rublev, Kvitová and Djokovic to follow – live! ",Yes,The Guardian
1349,WNBA finals  Storm trump Aces in Game 1 behind unstoppable Breanna Stewart,Yes,The Guardian
1350,London Marathon  Hopes spirit will be retained in St James's Park laps and virtual runs,Yes,The Guardian
1351,Kae Tempest  What I have learned from 20 years on the mic,Yes,The Guardian
1352,"John Banville Writing a novel is like wading through wet sand, at night, in a storm ",Yes,The Guardian
1353,He was murdered to silence him'  A shocking film on Jamal Khashoggi,Yes,The Guardian
1354,"Late-night TV  Stephen Colbert on GOP reaction to Trump's debate: 'Oh, now they’re worried?' ",Yes,The Guardian
1355,South Park pandemic special  A biting and surprisingly affecting satire,Yes,The Guardian
1356,US in turmoil  America's leadership is plunged into extraordinary uncertainty,Yes,The Guardian
1357,Rick Moranis  Actor punched in the street in random attack,Yes,The Guardian
1358,"Hicks, hubris, not many masks  The week Trump caught Covid ",Yes,The Guardian
1359,Washington  Scramble to trace virus among US leadership,Yes,The Guardian
1360,Elections  Biden announced in-person canvassing. Then Trump tested positive,Yes,The Guardian
1361,London  Surge of Covid cases in health workers sparks fear of spread on wards,Yes,The Guardian
1362,Environment  ‘Green hydrogen’ from renewables could become cheapest ‘transformative fuel’ within a decade,Yes,The Guardian
1363,"London  Dramatic plunge in air pollution since 2016, report finds ",Yes,The Guardian
1364,England  Listed building scheme gives churches new lease of life,Yes,The Guardian
1365,Brexit  Boris Johnson to set fishing ultimatum in crunch EU summit,Yes,The Guardian
1366,Italy  Matteo Salvini goes on trial over migrant kidnapping charges,Yes,The Guardian
1367,Jamal Kashoggi  Saudi expats launch opposition party on anniversary of death,Yes,The Guardian
1368,Canada  Did the 'caliphate executioner' lie about his past as an Isis killer?,Yes,The Guardian
1369,High and dry  Will India's swimming camels be the last of their kind?,Yes,The Guardian
1370,Blind date  ‘She ate a whole sea bass with her fingers’,Yes,The Guardian
1371,Natural healing  Here's how nature can get us through the next wave,Yes,The Guardian
1372,It's been a terrible fall from the mountain top'  How a coffee capital copes without cafes,Yes,The Guardian
1373,Nancy Pelosi  House speaker says Trump illness 'sad' but criticises pandemic response,Yes,The Guardian
1374,Jacinda Ardern  New Zealand's prime minister wishes Donald and Melania Trump a speedy recovery,Yes,The Guardian
1375,Donald Trump  President films message before leaving for Covid treatment in hospital,Yes,The Guardian
1376,Joe Biden  Trump's diagnosis is a 'bracing reminder' of the seriousness of Covid,Yes,The Guardian
1377,UK  Boris Johnson sends best wishes to the Trumps after Covid-19 diagnosis,Yes,The Guardian
1378,Top 20  Photographs of the week,Yes,The Guardian
1379,"Graffiti, fishing and the odd pint  Unseen photographs from soccer's yesteryear ",Yes,The Guardian
1380,"Original Observer photography  Idles, Issa Rae and a walk on the wild side ",Yes,The Guardian
1381,Scrutiny on Rose Garden event after Kellyanne Conway and other guests test positive for Covid,Yes,The Guardian
1382,Live  Trump says he is doing well but next few days will be 'real test',Yes,The Guardian
1383,People are losing their minds'  Panic and confusion in White House following Trump's diagnosis,Yes,The Guardian
1384,"Analysis  Trump’s New Jersey event showed perilous neglect for his staff, supporters – and himself ",Yes,The Guardian
1385,Covid at the top  Can Johnson and Bolsonaro's bouts offer lessons for Trump?,Yes,The Guardian
1386,Revealed  Trump-linked consultant tied to Facebook pages warning election will cause civil war,Yes,The Guardian
1387,Amy Coney Barrett  Quick confirmation under threat as three senators get Covid,Yes,The Guardian
1388,‘We just had to get home’  The Californians who rebuild despite the danger of wildfires,Yes,The Guardian
1389,Armenia-Azerbaijan conflict  US silence reflects broader disengagement,Yes,The Guardian
1390,"Navalny  He cheated death, but can he ever break Putin’s grip on Russia? ",Yes,The Guardian
1391,MLB  Former Dodgers pitcher Charles Haeger found dead after ex-girlfriend killed,Yes,The Guardian
1392,Regal Cinemas  Cineworld to close all UK and US venues putting thousands of jobs at risk,Yes,The Guardian
1393,France and Italy  Two dead and 24 missing after floods,Yes,The Guardian
1394,"Chile  Police throw boy, 16, off bridge during protests ",Yes,The Guardian
1395,"Live  Close to 35m Covid cases worldwide; 10,499 new infections in Russia ",Yes,The Guardian
1396,Research  Scientists study whether immune response wards off or worsens Covid,Yes,The Guardian
1397,Emperor has no clothes'  Art of the Deal writer says myth of Trump's business success is shattered,Yes,The Guardian
1398,Fashion … or fascist?  The long tussle over that Fred Perry logo,Yes,The Guardian
1399,John Cusack  ‘I have not been hot for a long time’,Yes,The Guardian
1400,Radha Blank  ‘Failure is a great tool in comedy’,Yes,The Guardian
1401,John Lennon  Solved: how a TV baseball movie inspired love song,Yes,The Guardian
1402,"Trump, Covid and empathy for the world's least empathetic man ",Yes,The Guardian
1403,America is having a code red moment. Which of its enemies is likely to strike first?,Yes,The Guardian
1404,My election advice to small businesses? Let your people vote,Yes,The Guardian
1405,Amnesty specialises in hard truths. No wonder Modi froze it out of India,Yes,The Guardian
1406,Protect the poor from being penalised by carbon taxes,Yes,The Guardian
1407,Live  Premier League: Arsenal v Sheffield United,Yes,The Guardian
1408,Charles Haeger  Former Dodgers pitcher found dead after ex-girlfriend killed,Yes,The Guardian
1409,Live  French Open: Nadal and Zverev in action,Yes,The Guardian
1410,French Open  No1 seed Halep dumped out by Polish teenager Swiatek,Yes,The Guardian
1411,Sancho to Sarr  Six stars looking to move before the transfer window shuts,Yes,The Guardian
1412,Cam Newton  Patriots star to miss Sunday's game after testing positive for Covid-19,Yes,The Guardian
1413,"Jill Lepore  'When did we hand Google, Twitter and Facebook the reins?' ",Yes,The Guardian
1414,That pressure of time'  Pete Buttigieg on writing books and trusting in America,Yes,The Guardian
