Headlines,Valid Source,Source
Coronavirus Deaths Pass One Million Worldwide,Yes,The New York Times
"Elementary Schools Reopen in Person, in Milestone for N.Y.C.",Yes,The New York Times
Tracking the Coronavirus ›,Yes,The New York Times
Grand Juror in Breonna Taylor Case Says Deliberations Were Misrepresented,Yes,The New York Times
Biden and Trump’s First Debate: What to Watch For,Yes,The New York Times
The Day in Polls: Biden Leads by Enough to Withstand a Polling Misfire,Yes,The New York Times
Analysis: Liberals Are Furious. Their Standard-Bearer Wants to Hold Back.,Yes,The New York Times
Immigrants Say They Were Pressured Into Unneeded Surgeries,Yes,The New York Times
The Picture of a Broken Tax System,Yes,The New York Times
"America Wrote the Pandemic Playbook, Then Ignored It",Yes,The New York Times
"Trump’s Debt, His Future and Ours",Yes,The New York Times
The Case for Accepting Defeat on Roe,Yes,The New York Times
There’s a Reason the Election of 1800 Still Sings Out to Us,Yes,The New York Times
Does Donald Trump Need a Bailout?,Yes,The New York Times
Mexico and the Gods of Corruption,Yes,The New York Times
Meet a Secret Trump Voter,Yes,The New York Times
The Revelations About Donald Trump’s Taxes,Yes,The New York Times
‘I Love New York’ Is More Than a Motto,Yes,The New York Times
What Parents Need to Know About School Coronavirus Case Data,Yes,The New York Times
Meet the Biggest Prankster in Baseball: Yankees G.M. Brian Cashman,Yes,The New York Times
Early Works by Edward Hopper Found to be Copies of Other Artists,Yes,The New York Times
"How to Read a Wine Label, in 12 Easy Lessons",Yes,The New York Times
Both Parties Fret as More Democrats Request Mail Ballots in Key States,Yes,The New York Times
Voting by Mail Tops Election Misinformation,Yes,The New York Times
White House Blocked C.D.C. Order to Keep Cruise Ships Docked,Yes,The New York Times
"Pelosi and Mnuchin Meet Again on Stimulus, but Fail to Produce a Deal",Yes,The New York Times
"Indoor dining has returned to New York City, but will it be enough to save restaurants?",Yes,The New York Times
The Election Is Making Investors Nervous,Yes,The New York Times
"Updates: Business leaders reacted to a chaotic debate, saying “I have no space in my life for that.” Here’s the latest.",Yes,The New York Times
What I Learned Inside the N.B.A. Bubble,Yes,The New York Times
A Debate That Can’t Be Ignored,Yes,The New York Times
"Weird Al Presents: ‘America Is Doomed, the Musical’",Yes,The New York Times
Who Won the First Debate?,Yes,The New York Times
"After That Fiasco, Biden Should Refuse to Debate Trump Again",Yes,The New York Times
The Truth About Today’s Anarchists,Yes,The New York Times
Trump Sent a Warning. Let’s Take It Seriously.,Yes,The New York Times
"‘The More I Watched, the More Unsettled I Felt’",Yes,The New York Times
"‘An Embarrassment’: Trump, Biden and the Debate Fiasco",Yes,The New York Times
Trump ‘Can’t Resist People Wanting to See His Face’,Yes,The New York Times
Will You Leave the Country if Trump Is Re-Elected?,Yes,The New York Times
It Is Time for Swift Action to Keep New Yorkers Safe,Yes,The New York Times
"How to Have a Disagreement Like an Adult, According to Deepak Chopra",Yes,The New York Times
First Look: Viola Davis and Chadwick Boseman in ‘Ma Rainey’s Black Bottom’,Yes,The New York Times
"For the Met Opera, the Pandemic Could Be a Necessary Reset",Yes,The New York Times
‘Sway’ With Kara Swisher,Yes,The New York Times
"Amid Debate Over Mail Voting, Texas Governor Reduces Ballot Drop-Off Boxes",Yes,The New York Times
Republican in Arizona Senate Race Finds a Chance in the Court Fight,Yes,The New York Times
Persistent Job Cuts Show Fear Over Virus and Stimulus Talks,Yes,The New York Times
Fraud Schemes Exploit Weak Spots in Unemployment Claims System,Yes,The New York Times
‘I Am Just Sort of Disgusted’: Undecided Voters Don’t Find Much to Help,Yes,The New York Times
Daily Distortions: Republicans Sow Doubts About Debate Fairness,Yes,The New York Times
"Drudge Report, a Trump Ally in 2016, Stops Boosting Him for 2020",Yes,The New York Times
N.Y.C. Public Schools Have All Reopened for In-Person Learning,Yes,The New York Times
"The N.F.L. had time to plan for playing in a pandemic. They took risks, and a postponement this week is the result.",Yes,The New York Times
Russians Were Urged to Return to Normal Life. Except for Vladimir Putin.,Yes,The New York Times
"On Long Island, a Beachfront Haven for Black Families",Yes,The New York Times
Considering a Coronavirus Divorce? You’re in Good Company,Yes,The New York Times
"For the Sake of Democracy, Cancel the Trump-Biden Debates",Yes,The New York Times
The 51st State America Needs,Yes,The New York Times
Anyone Else Want to See Trump ‘Shut Up’?,Yes,The New York Times
The Right’s Relentless Supreme Court Justice Picking Machine,Yes,The New York Times
Trump Calls on Extremists to ‘Stand By’,Yes,The New York Times
"Can Mike Espy Make History, Again?",Yes,The New York Times
A Brief History of the Taxpayer in Chief,Yes,The New York Times
Please Let Me Terrify Some Kids on Halloween,Yes,The New York Times
The Special Place Where Ella Fitzgerald Comes Alive,Yes,The New York Times
How ‘Rage’ Challenged Bob Woodward,Yes,The New York Times
Colleges Learn How to Suppress Coronavirus: Extensive Testing,Yes,The New York Times
"N.Y.C.’s School Testing Plan May Miss Outbreaks, Study Finds",Yes,The New York Times
Preflight tests are coming to airports.,Yes,The New York Times
Last Monthly Jobs Report Before Election Expected to Confirm Slowdown,Yes,The New York Times
Trump Virtually Cuts Off Refugees as He Unleashes a Tirade on Immigrants,Yes,The New York Times
Judge Blocks Trump’s Ban on Foreign Workers,Yes,The New York Times
Democrats Mount an All-Out Effort to Get Detroit to Vote,Yes,The New York Times
"100,000 New Mail-In Ballots Go Out, but N.Y. Voters Are Now Wary",Yes,The New York Times
Wisconsin Is Frazzled by Surging Virus Cases and Growing Campaign Frenzy,Yes,The New York Times
What Made This a Record Fire Season? It Started With Lightning.,Yes,The New York Times
"After Wildfires Stop Burning, a Danger in the Drinking Water",Yes,The New York Times
California’s Diablo winds could worsen the fires.,Yes,The New York Times
"Defiant, Now Infected: Trump Is a Morality Tale",Yes,The New York Times
The Amazon Has Seen Our Future,Yes,The New York Times
The Very Strong Case for Joe Biden’s Economic Plan,Yes,The New York Times
Why ‘Stand Back and Stand By’ Should Set Off Alarm Bells,Yes,The New York Times
The I.R.S. Is Outgunned,Yes,The New York Times
Will Mormon Women Sink Trump in Arizona?,Yes,The New York Times
"At His Core, Trump Is an Immoralist",Yes,The New York Times
Whose Islam? The New Battle for Afghanistan,Yes,The New York Times
"30 Years After Reunification, Old German-German Border Is a Green Oasis",Yes,The New York Times
Do Politics Belong in Retirement Planning?,Yes,The New York Times
"Modern Love: In My Sari, Kissing the Soccer Coach",Yes,The New York Times
"India’s Coronavirus Death Toll Passes 100,000",Yes,The New York Times
The Pandemic Depression Is Over. The Pandemic Recession Has Just Begun.,Yes,The New York Times
"Germany’s Far Right Reunified, Too, Making It Much Stronger",Yes,The New York Times
East and West Germans wonder: How united are we?,Yes,The New York Times
Reality Bursts the Trumpworld Bubble,Yes,The New York Times
Trump’s Diagnosis Is a Wake-Up Call for Americans,Yes,The New York Times
Captain Chain Saw’s Delusion,Yes,The New York Times
Lincoln Has Another Lesson for Trump,Yes,The New York Times
The Tragedy of Donald Trump,Yes,The New York Times
Testing Was Not Enough to Protect the White House,Yes,The New York Times
"Get Well, Mr. President",Yes,The New York Times
Biden Tested Negative. He Could Still Have the Coronavirus.,Yes,The New York Times
The Pandemic Comes for the President,Yes,The New York Times
It’s Time for Diners to Ask the Servers: How Are You Doing?,Yes,The New York Times
Parents’ Little Helpers,Yes,The New York Times
"For Veterans, Bonds Forged in Battle Are Tested in 2020",Yes,The New York Times
Virus Diagnosis and Secret Texts Upend a Critical Senate Race,Yes,The New York Times
Identify the Different Symptoms of the Flu and Covid-19,Yes,The New York Times
Pope Francis chastised the world for its lack of unity in responding to the coronavirus.,Yes,The New York Times
The pandemic has taken an incalculable death toll. Here are some of those we’ve lost.,Yes,The New York Times
A Black Belgian Student Saw a White Fraternity as His Ticket. It Ended His Life.,Yes,The New York Times
Did you follow the headlines this week? Take our news quiz.,Yes,The New York Times
Now the President and Frontline Workers Have Something in Common,Yes,The New York Times
"To Hold Police Accountable, Ax the Arbitrators",Yes,The New York Times
A Toxic Alien Is Taking Over Russia,Yes,The New York Times
‘They Chose to Stay Open and Fight’,Yes,The New York Times
"Buried in Salt, These Potatoes Are a Joy to Eat",Yes,The New York Times
Jim Carrey Plays Joe Biden in ‘S.N.L.’ Season Premiere,Yes,The New York Times
Trump’s Condition,Yes,The New York Times
The Neediest Cases Fund,Yes,The New York Times
"A Student Dies, and a Campus Gets Serious About Coronavirus",Yes,The New York Times
Cineworld is temporarily closing all 663 of its movie theaters in the U.S. and Britain. Here’s the latest.,Yes,The New York Times
"Six Months In, the Shape(s) of the Economic Crisis",Yes,The New York Times
"With President in the Hospital, a V.P. Debate Takes On Outsize Import",Yes,The New York Times
Voters Dread Election: ‘It’s Going to Be Hell No Matter What’,Yes,The New York Times
How Kelly Loeffler Went From Atlanta Elite to Trump Loyalist,Yes,The New York Times
"At Afghan Peace Talks, Hoping to End Their Fathers’ War",Yes,The New York Times
"WeChat, Wild Rumors and All, Is Their Lifeline. Washington May End That.",Yes,The New York Times
The American People Need the Truth,Yes,The New York Times
A President in the Hospital and a Nation in the Dark,Yes,The New York Times
There Is Too Much Happening,Yes,The New York Times
"America, We Know What You’re Going Through",Yes,The New York Times
The Man Behind America’s Race for a Vaccine,Yes,The New York Times
Lockdown Feels Pretty Different the Second Time Around,Yes,The New York Times
"Against Covid-19, Imperfect Measures Do the Most Good",Yes,The New York Times
Politics as an Act of Love,Yes,The New York Times
"With Evictions Looming, Cities Revisit a Housing Experiment From the ’70s",Yes,The New York Times
"At French Open, Separation in Interviews Makes for Some Odd Exchanges",Yes,The New York Times
What We Learned From Week 4 of the N.F.L. Season,Yes,The New York Times
Trump coronavirus diagnosis leaves lawmakers exposed,Yes,Politico
Trump team on watch for adversaries to exploit the president's illness,Yes,Politico
Former Trump doctor: White House has 'been doing a good job' protecting the president from Covid,Yes,Politico
"Shock, sympathy, mockery: World reacts to Trump infection",Yes,Politico
Debate moderator Chris Wallace: 'I'm going to have to get a test',Yes,Politico
"N.J. governor urges attendees at Trump fundraiser in Bedminster to get tested, self-quarantine",Yes,Politico
Boris Johnson wishes Trump speedy recovery from coronavirus,Yes,Politico
Timeline of Trump's activities in week coronavirus hit home,Yes,Politico
Liebermans haunt Democrats in key Senate races,Yes,Politico
Biden puts Ohio in play,Yes,Politico
Fed Up in Flyover Country,Yes,Politico
Has Elissa Slotkin Detected Early Hints of a Biden Blowout?,Yes,Politico
How Cindy McCain could help Biden clinch Arizona,Yes,Politico
House approves $2.2 trillion Covid measure as bipartisan talks remain stalled,Yes,Politico
Vulnerable Senate Republicans raise alarm over coronavirus impasse,Yes,Politico
Endangered Republicans back Senate Democrats' bill opposing Obamacare lawsuit,Yes,Politico
Who wins 2020? Predictions for every election & key races,Yes,Politico
The battleground: These states will determine the 2020 election,Yes,Politico
The nation’s cartoonists on the week in politics,Yes,Politico
Trump calls for poll watchers. Election officials call for calm.,Yes,Politico
Republicans have no margin for error in Supreme Court blitz,Yes,Politico
HHS ad blitz sputters as celebrities back away,Yes,Politico
Trump’s ex-national security adviser says president is ‘aiding and abetting’ Putin,Yes,Politico
Barr’s Justice Department serves up talking points for Trump,Yes,Politico
National Intelligence chief gave little notice for briefing on Russian assessment,Yes,Politico
‘Worst presidential debate in history’: Foreigners recoil at Trump and Biden’s prime-time brawl,Yes,Politico
Biden calls Trump 'Putin’s puppy',Yes,Politico
Trump interrupts Biden talking about his late son Beau,Yes,Politico
Trump on election integrity: 'This is going to be fraud like you've never seen',Yes,Politico
"Trump pushes back on tax report, demurs on releasing returns",Yes,Politico
Trump tries to steamroll the moderator,Yes,Politico
An Epic Moment of National Shame: The Debate Was an Embarrassment for the Ages,Yes,Politico
Trump’s refusal to condemn white supremacists launches an online furor,Yes,Politico
Here’s How the Pandemic Finally Ends,Yes,Politico
SCOTUS battle crashes into decisive Senate race in Iowa,Yes,Politico
Trump’s legacy is now the Supreme Court,Yes,Politico
White House says Trump will be at Walter Reed for ‘the next few days’,Yes,Politico
When did the virus breach the Trump bubble? Inside a big Trump mystery,Yes,Politico
Shell-shocked Trump campaign seeks a way forward,Yes,Politico
Biden makes cautious return to the campaign trail,Yes,Politico
Trump’s Covid — and the rest of 2020 — seems a cosmic joke,Yes,Politico
The Real Nightmare Scenario: A Sick Mike Pence,Yes,Politico
Trump sets off multi-state Covid tracing crisis,Yes,Politico
"Confusion, concern infiltrate White House as Trump heads to hospital",Yes,Politico
New Jersey spent 35 years and $100B trying to fix school inequity. It still has problems.,Yes,Politico
Sexts and coronavirus: Must-win Senate race upended down the stretch,Yes,Politico
"Republicans vow no delay on Barrett, but virus spreads in GOP",Yes,Politico
Social media companies go into fire-alarm mode over Trump diagnosis,Yes,Politico
Warp Speed's focus on vaccines may have shortchanged antibody treatments,Yes,Politico
Azar says HHS reviewing $300M pandemic ad campaign amid scrutiny,Yes,Politico
Where Trump went (and who he was with) leading up to his coronavirus diagnosis,Yes,Politico
Trump is flown to Walter Reed hospital after testing positive for the coronavirus,Yes,Politico
"Trump blames low-income people, minorities for 'ruining' suburbia",Yes,Politico
Meadows: The president remains in 'good spirits',Yes,Politico
Pelosi reacts to Trump Covid infection,Yes,Politico
Graham: 'I talked to President Trump this morning',Yes,Politico
The lasting impact of the debate debacle and a dive into hate group the Proud Boys,Yes,Politico
McEnany: President thinks a fair debate means 'a change in the moderator and a change in the Democrat nominee',Yes,Politico
Biden looks to seal election after Trump's week from hell,Yes,Politico
The virus slams into a broken Washington,Yes,Politico
Trump’s health condition highlights gaps in the 25th Amendment,Yes,Politico
Why Trump’s testing strategy failed him,Yes,Politico
Vulnerable Republicans seek lifeline from SCOTUS hearings,Yes,Politico
"Graham, Harrison spar over SCOTUS and Covid-19 in fiery Senate debate",Yes,Politico
"Coronavirus infects 3 senators, derailing Senate schedule",Yes,Politico
‘Mueller’s pitbull’ has a few regrets,Yes,Politico
Trump campaign looks to small victories on trade to win the farmer vote,Yes,Politico
"Post-debate polls: Biden up by 5 in Florida, 7 in Pennsylvania ",Yes,Politico
‘There’s no joy in being right’: Biden makes cautious return to the campaign trail,Yes,Politico
Trump addresses diagnosis from Walter Reed,Yes,Politico
Trump’s other coronavirus complication: His credibility gap,Yes,Politico
Brussels confronts European Union countries over pesticides and animal welfare,Yes,Politico
The implications of President Trump's Covid-19 case,Yes,Politico
WH doctors on Trump's oxygen intake,Yes,Politico
Trump says overturning Roe v Wade 'certainly possible' with Amy Coney Barrett,Yes,The Guardian
Recipe for chaos Election threatens to snap a US already pushed to the limit,Yes,The Guardian
New York Restaurants face make-or-break moment as indoor dining arrives,Yes,The Guardian
Joe Biden Team hopes for repeat of 2012 as Trump debate nears,Yes,The Guardian
Breonna Taylor Louisville protesters march past curfew over grand jury decision,Yes,The Guardian
TikTok  Judge set to rule on ban preventing new downloads of app,Yes,The Guardian
Belarus  Police disperse 'people's inauguration' rallies with teargas,Yes,The Guardian
Media  Reporter lost International Women of Courage award for criticising Trump,Yes,The Guardian
"Switzerland  Voters reject EU immigration curbs, exit polls suggest ",Yes,The Guardian
Texas  Residents warned not to use tap water tainted with deadly brain-eating microbe,Yes,The Guardian
Sense or censorship?  Row over Klan images in Tate’s postponed show,Yes,The Guardian
Coronavirus live  Three more Welsh counties face local lockdowns; concern over clusters at French schools,Yes,The Guardian
Florida  The Key West patrol attempting to enforce a mask mandate,Yes,The Guardian
Where Law Ends  Why Mueller failed to hold Trump to account,Yes,The Guardian
"I needed to get real'  Yusuf Cat Stevens on Islam, the fatwa and playing guitar again ",Yes,The Guardian
The wurst is over  Why Germany now loves to go vegetarian,Yes,The Guardian
Knock before entering  Stars in their dressing rooms,Yes,The Guardian
"Amid talk of civil war, America is already split – Trump Nation has seceded ",Yes,The Guardian
"Amy Coney Barrett should be judged on her ability, not her faith ",Yes,The Guardian
We need to rethink social media before it's too late. We've accepted a Faustian bargain,Yes,The Guardian
Only a fool would write off Trump. But there’s a reason he’s so desperate,Yes,The Guardian
Trump First now drives US foreign policy. Even if it leads to war…,Yes,The Guardian
So an ancient TV set can bring down the mighty broadband? Good...,Yes,The Guardian
Is Covid to blame for business closures or is it helping new startups? The answer is both,Yes,The Guardian
Scranton v Park Avenue' is Biden's best campaign issue - not the supreme court,Yes,The Guardian
"Live  French Open: Wawrinka v Murray, Konta v Gauff  ",Yes,The Guardian
Premier League  Mourinho storms off after late VAR drama denies Tottenham,Yes,The Guardian
NBA  LeBron's triple-double powers Lakers over Nuggets into finals,Yes,The Guardian
F1  Bottas wins Russian GP as time penalty denies Hamilton's record bid,Yes,The Guardian
Live  Premier League: Manchester City v Leicester City,Yes,The Guardian
NHL  Perry's double-OT winner keeps Dallas Stars alive in Cup final,Yes,The Guardian
Titus Kaphar  Rebel artist puts black lives in the Renaissance frame,Yes,The Guardian
He returned to what he really was'  Clive James's daughter on his poetic farewell,Yes,The Guardian
Two is the magic number  Why are we fascinated with power couples?,Yes,The Guardian
The $80m Botticelli  Could its auction trigger a Covid-rescue fire sale?,Yes,The Guardian
I have a sense of urgency'  Sufjan Stevens wakes from the American dream,Yes,The Guardian
Public lands  Trump chief axed after court rules he was serving unlawfully,Yes,The Guardian
"People of Praise  With Barrett nomination, spotlight falls on secretive Catholic group ",Yes,The Guardian
Portland  Proud Boys rally draws smaller crowd than authorities feared,Yes,The Guardian
Not special anymore'  How the Senate failed the people,Yes,The Guardian
Discarded ballots'  DoJ rush to report raises fears of pro-Trump bias,Yes,The Guardian
California fires  Local groups fill gaps as Black and Latino communities left to prepare on their own,Yes,The Guardian
She was taken'  Native Americans honor orca 50 years after capture,Yes,The Guardian
‘Everything's for sale’  The shocking film on the privatization of American public lands,Yes,The Guardian
Armenia  Martial law imposed after clashes with Azerbaijan,Yes,The Guardian
China  Carbon pledge requires it to put energy system into reverse,Yes,The Guardian
Boris Johnson  PM faces revolt over forcing through Covid measures,Yes,The Guardian
Taiwan  How 'civic hackers' helped find a new way to run the country,Yes,The Guardian
UK  Ancient sculpture put up for auction to be returned to Iraq,Yes,The Guardian
Nigeria  At least 11 people killed in attack on convoy,Yes,The Guardian
UK  Labour takes poll lead as parties see major switch in fortunes,Yes,The Guardian
‘It’s a war on words’  Turks fear new law to muzzle social media giants,Yes,The Guardian
Sweden  What lessons can the world learn from the country's Covid-19 experience?,Yes,The Guardian
Migration  Activists protest ban on distributing food to migrants in Calais,Yes,The Guardian
Dreading a dark winter lockdown?   Think like a Norwegian,Yes,The Guardian
Blend it like Beckham!  How the socks and sandals combo became cool,Yes,The Guardian
Trump's third nominee  What will Amy Coney Barrett mean for women's rights?,Yes,The Guardian
Breonna Taylor  Protesters march in Louisville as state representative among dozens arrested,Yes,The Guardian
Spain  Masked councillor's English accent proves to be a dub misstep,Yes,The Guardian
Meet Kokonut  The remote control koala probing if cows are trampling an Australian icon,Yes,The Guardian
Who wants to see a man?'  Trump promises to name supreme court nominee on Saturday,Yes,The Guardian
Vote him out'  Trump booed while paying respects to Ruth Bader Ginsburg,Yes,The Guardian
Finland  Sniffer dogs used to detect coronavirus in trial,Yes,The Guardian
Spain  Orcas ram boat off the coast,Yes,The Guardian
China  Timelapse footage shows development of suspected internment camp in Xinjiang,Yes,The Guardian
US  Harry and Meghan call on Americans to register to vote ahead of election,Yes,The Guardian
Mexico protests and the Milky Way  Sunday's best photos,Yes,The Guardian
Photo essay  Washington mourns Ruth Bader Ginsburg,Yes,The Guardian
Protests in Louisville and the enduring impact of Covid-19  20 photographs of the week,Yes,The Guardian
US election polls tracker: who is leading in the swing states?,Yes,The Guardian
Live  Trump says overturning Roe v Wade 'certainly possible' with Amy Coney Barrett – live,Yes,The Guardian
Argentinian politician quits after kissing partner's breasts in online legislative session,Yes,The Guardian
Texas residents warned of tap water tainted with brain-eating microbe,Yes,The Guardian
Amy Coney Barrett: spotlight falls on secretive Catholic group People of Praise,Yes,The Guardian
The Florida patrol attempting to enforce a mask mandate,Yes,The Guardian
Schools in England told not to use anti-capitalist material in teaching,Yes,The Guardian
US elections 2020  Ohio debate offers Trump chance to yank stubbornly stable 2020 race his way,Yes,The Guardian
New York  Tibetan diaspora spying case sows distrust and confusion,Yes,The Guardian
Coronavirus  Global deaths pass 1m with no sign rate is slowing,Yes,The Guardian
Our love is radical'  Why trans activists lead the way in protest movements,Yes,The Guardian
California  Firefighters hope dying winds will help contain wine country blaze,Yes,The Guardian
Thailand  American faces prison over bad hotel review,Yes,The Guardian
"Fox News  Network uses 'hate' five times more often than competitors, study finds ",Yes,The Guardian
India  Amnesty to halt work in country due to government 'witch-hunt',Yes,The Guardian
"Microsoft  Global outage brings down Office 365, Outlook and Teams ",Yes,The Guardian
Environment  New super-enzyme eats plastic bottles six times faster,Yes,The Guardian
Technology  Trump's bid to ban TikTok and WeChat: where are we now?,Yes,The Guardian
Live  One million deaths worldwide; Netherlands reports record daily rise in cases,Yes,The Guardian
"Gender equality  Most countries failing women and girls with Covid response, UN finds ",Yes,The Guardian
"Canada  Ontario in grip of second Covid-19 wave that will be 'worse than first', officials say ",Yes,The Guardian
Stalked for 11 years  One woman's fight for freedom from an abusive ex-boyfriend,Yes,The Guardian
I want to break cinema'  Is Dick Johnson Is Dead the most radical film of 2020?,Yes,The Guardian
Philadelphia  A historic natural pool was trashed. Could filling it with rocks save it?,Yes,The Guardian
"Troubled Florida, divided America  Will Donald Trump hold this vital swing state? ",Yes,The Guardian
We are resilient'  The activist sheltering trans people in Trump's America,Yes,The Guardian
Conservatives' assault on the supreme court is a judicial tragedy in the making,Yes,The Guardian
Do you pay more than $750 in taxes? You've given more than Trump,Yes,The Guardian
I don't want children but being an aunt is the joy of my life,Yes,The Guardian
Talk of a scientific rift is a dangerous distraction in the fight against Covid-19,Yes,The Guardian
Italy's government showed the world how to take responsibility in a pandemic,Yes,The Guardian
Trump sold voters on the folly that he's a successful businessman. That's a con,Yes,The Guardian
"The US supreme court ruled against my voting rights. As an ex-felon, my scarlet letter is back ",Yes,The Guardian
Trump’s tax avoidance is a national disgrace. Don't let him blame 'the system',Yes,The Guardian
"French Open  Pliskova, Djokovic and Kenin in action on day three – live! ",Yes,The Guardian
NFL  Mahomes mastery helps Chiefs beat Ravens in clash of heavyweights,Yes,The Guardian
The Klopp-Keane exchange tells us much about how football has changed,Yes,The Guardian
Stanley Cup  Lightning beat Stars in Game 6 to claim first title since 2004,Yes,The Guardian
Liverpool overwhelm Arsenal in familiar glimpse of football's old times,Yes,The Guardian
Golf's wedge issue  The triumph of brain and brawn,Yes,The Guardian
Eddie Redmayne  Actor condemns 'vitriol' aimed at JK Rowling after trans rights comments,Yes,The Guardian
Bruce Nauman  'Jasper Johns poured me a few bourbons – and my legs gave way',Yes,The Guardian
Among Us  The ultimate party game of the paranoid Covid era,Yes,The Guardian
John Oliver on Amy Coney Barrett's likely confirmation  'It's going to hurt for a long time',Yes,The Guardian
How Vietnam drama Monsoon ignites the battle for belonging,Yes,The Guardian
Elijah Pierce  The woodcarver who grappled with civil rights and racism,Yes,The Guardian
Breonna Taylor  Kentucky attorney general agrees to release grand jury recordings,Yes,The Guardian
"Census  Trump administration plans to end early, defying judge's order ",Yes,The Guardian
Trump 2016  Campaign 'targeted 3.5m black Americans to deter them from voting',Yes,The Guardian
Accountants  Donald Trump ‘a bad businessman or a tax cheat – probably both’,Yes,The Guardian
"Ivanka Trump  President wanted daughter as running mate, book says ",Yes,The Guardian
Mike Pompeo  US secretary of state to criticise Vatican's renewal of China deal during visit,Yes,The Guardian
California fires  Three killed as new blazes force tens of thousands to evacuate,Yes,The Guardian
Brad Parscale  Ex-manager of Trump campaign hospitalised after self-harm threats,Yes,The Guardian
Armenia-Azerbaijan  UN to hold emergency talks amid fears conflict will widen,Yes,The Guardian
Let down'  Calls for Gibraltar's Covid-delayed abortion vote to take place,Yes,The Guardian
New Zealand  Rare and fashionable houseplant stolen from botanic gardens,Yes,The Guardian
China  Teacher sentenced to death for poisoning children's porridge,Yes,The Guardian
"Mars  Salty ponds may be under icy surface, raising prospect of Martian life ",Yes,The Guardian
France  Police clear migrant camp at launch point for Britain,Yes,The Guardian
Dispirited but defiant  Hong Kong's spirit of resistance endures,Yes,The Guardian
"Australia  La Niña set to bring cooler weather, more rain and cyclones ",Yes,The Guardian
Wales  Smoking banned on sidelines of children's football,Yes,The Guardian
Human rights  Uighurs could be allowed to seek genocide ruling against China in UK,Yes,The Guardian
Sexual healing  I’ve lost weight – and with it any sensation through penetrative sex,Yes,The Guardian
Falling from the sky  Inside the airline industry's meltdown,Yes,The Guardian
Marie Davidson  ‘We were the under-under-under of the underground’,Yes,The Guardian
I need to spread love with the gifts God gave me'  Funk master Steve Arrington returns,Yes,The Guardian
Armenia-Azerbaijan  Clash over disputed Nagorno-Karabakh region,Yes,The Guardian
Donald Trump  US president 'paid $750 in federal income taxes in 2016 and 2017',Yes,The Guardian
Donald Trump  President claims Joe Biden is on 'performance-enhancing drugs',Yes,The Guardian
Fake news'  Trump denies tax claims from New York Times,Yes,The Guardian
The fight for Hong Kong  'We swam to Hong Kong for freedom half a century ago. What now?',Yes,The Guardian
Spain  Frustrated Madrid residents call for new approach in Covid pandemic,Yes,The Guardian
Israel  Protesters in Jerusalem call for Benjamin Netanyahu to step down,Yes,The Guardian
Are we nearly there yet?  Take a 1980s road trip down the A1,Yes,The Guardian
UK  Sea view photography competition 2020,Yes,The Guardian
Tuesday’s best photos  A jet suit flight and abortion rights protests,Yes,The Guardian
Covid-19 tests that give results in minutes to be rolled out across world,Yes,The Guardian
Live  Trump and Biden head to Ohio for first presidential TV debate – US politics live,Yes,The Guardian
Fred Perry withdraws polo shirt adopted by far-right Proud Boys,Yes,The Guardian
Debate offers Trump chance to yank stubbornly stable 2020 race his way,Yes,The Guardian
"Donald Trump wanted daughter Ivanka to be running mate in 2016, book says ",Yes,The Guardian
"Borat 2 imminent, reports suggest, with Trump, Epstein and Giuliani as targets ",Yes,The Guardian
Live  Biden tells white supremacist groups to 'cease and desist' after Trump's debate 'embarrassment',Yes,The Guardian
Joe Biden  Democrat raises record funds as aides jab 'trainwreck' Trump after sorry debate,Yes,The Guardian
Sport  Athletes dismayed by Trump's refusal to condemn white supremacy in debate,Yes,The Guardian
How to move to Canada'  Americans rush to Google after unwatchable debate,Yes,The Guardian
"US policing  Black residents nearly four times as likely to be cited by Los Angeles police, report finds ",Yes,The Guardian
Vatican  Official accuses Trump administration of exploiting pope,Yes,The Guardian
"California  Fires rage on as hot, dry weather holds ",Yes,The Guardian
"Breonna Taylor  Release grand jury files by Friday, state attorney general told ",Yes,The Guardian
Los Angeles  Man arrested and charged with shooting two sheriff’s deputies,Yes,The Guardian
Ukraine  American woman working at embassy killed while jogging in Kyiv,Yes,The Guardian
Amy Coney Barrett  Religious group scrubs all references to Trump's pick from its website,Yes,The Guardian
Nxivm  Benefactor of disgraced group leader sentenced to seven years in prison,Yes,The Guardian
"Julian Assange  US intelligence sources discussed poisoning WikiLeaks founder, court told ",Yes,The Guardian
"New York  Less than 20% of theater created by people of color, study finds ",Yes,The Guardian
New Zealand  Jacinda Ardern admits cannabis use in heated debate,Yes,The Guardian
US  Two universities welcomed students on campus. Only one tested for Covid-19,Yes,The Guardian
Live  Italian senate suspended as lawmakers test positive; Covid travel slump could cost 46m jobs,Yes,The Guardian
"Science  Neanderthal genes increase risk of serious Covid-19, study claims ",Yes,The Guardian
Germany  People embrace fresh air to ward off coronavirus,Yes,The Guardian
Sober October  17 ways to unwind after a stressful day – without hitting the booze,Yes,The Guardian
Glue and scissors  How I rediscovered my teenage hobby amid the pandemic,Yes,The Guardian
Jimmy Fallon on the debate  'Felt like getting a Covid test in both nostrils',Yes,The Guardian
"Google  Pixel 5, Chromecast and Nest Audio smart speaker unveiled ",Yes,The Guardian
Where did we get the idea that we can’t be friends?'  They hate each other's political views – and yet they like each other,Yes,The Guardian
Proud Boys  Who are far-right group that backs Donald Trump?,Yes,The Guardian
Trump v Biden in the first 2020 presidential debate: our panelists' verdict,Yes,The Guardian
